;random sample of disease genes;LCC of random disease genes;LCC size of random disease genes
10;[26277, 55869, 28958, 26960, 6605, 125336, 55655, 8091, 6857, 5610, 55315, 2626, 22926, 2213, 6305, 64801, 27341, 2059, 7053, 5346, 10861, 83737, 23112, 64135, 10280, 56683, 57623, 3717, 8792, 79798, 55967, 3818, 26278, 8493, 3977, 10011, 4601, 54453, 65992, 4921, 2255, 8546, 8818, 1675, 4193, 2348, 84071, 100128927, 8220, 84992, 1290, 1107, 583, 63929, 5994, 93426, 1284, 55212, 50964, 3777, 10559, 65062, 9401, 57082, 3868, 3047, 7298, 9509, 7306, 1363, 3739, 3674, 925, 24148, 22873, 8542, 8120, 7867, 22827, 4627, 136647, 29958, 5837, 6532, 1116, 19, 8787, 26873, 2328];[5994, 2059, 6605, 93426, 3868];5
11;[55691, 10220, 81693, 145173, 3052, 7555, 9423, 374354, 1314, 24145, 8854, 2070, 4015, 26058, 3753, 4318, 10765, 1911, 50937, 2261, 182, 1080, 889, 1316, 151254, 9997, 9699, 134430, 91252, 8558, 7174, 80201, 4001, 55165, 7827, 57505, 5002, 10381, 1415, 6654, 1743, 7030, 11281, 1630, 285590, 4620, 57522, 4149, 60676, 338, 5111, 351, 6901, 3053, 6096, 1675, 93233, 4359, 25794, 249, 4478, 80153, 4694, 3848, 2188, 29954, 57190, 5138, 23258, 8419, 8547, 5156, 4036, 5972, 80224, 9211, 23288, 7535, 142680, 158401, 2239, 435, 7139, 4014, 7018, 4784, 23141, 6204, 348];[4001, 57505, 3053, 1743, 6901, 5111, 1080, 6204, 55165, 4478];10
12;[54928, 57731, 8799, 546, 5346, 4007, 3796, 60506, 54931, 345611, 1642, 6607, 4953, 6884, 3490, 2175, 6599, 3735, 55367, 81620, 1822, 4140, 4868, 3861, 8087, 8733, 162417, 157657, 2806, 55670, 7172, 7920, 64787, 55037, 57479, 10111, 4488, 738, 3990, 23646, 4621, 5506, 60482, 55193, 83999, 90, 4436, 64374, 3094, 5498, 144406, 54903, 2153, 51703, 1984, 1261, 10586, 1545, 3658, 341640, 80207, 25886, 8367, 27077, 10526, 1794, 170302, 1106, 51002, 8490, 55621, 55388, 5702, 346171, 10142, 287, 9131, 128, 9526, 8322, 80199, 55033, 5626, 9364, 118924, 1654, 4723, 146057, 340719];[738, 5702, 8087, 5626, 1822];5
13;[1474, 56521, 847, 253959, 579, 2036, 23287, 6554, 3691, 7280, 57222, 84662, 128178, 5147, 23114, 57216, 5836, 10342, 84162, 255928, 80152, 513, 246329, 8647, 57468, 55596, 64837, 64087, 6299, 2266, 6595, 2990, 60468, 7439, 10205, 23322, 11155, 1738, 9853, 2260, 25886, 5192, 203228, 4615, 29967, 8943, 11253, 9378, 64581, 55617, 2770, 3977, 2705, 3394, 439, 50628, 57055, 6557, 139212, 10524, 84667, 6476, 55969, 4015, 79029, 84700, 1409, 57709, 5271, 54443, 27068, 2538, 3850, 501, 1282, 63901, 5009, 4481, 975, 9338, 10695, 84705, 4597, 9051, 221927, 6890, 4625, 845, 3329];[3329, 64581, 2705, 2260, 2266];5
14;[2335, 23512, 1723, 58508, 6555, 242, 23030, 55627, 146227, 735, 6507, 29760, 4689, 157657, 4726, 26580, 55120, 10290, 55212, 51308, 8106, 7867, 3815, 6521, 9493, 2812, 8294, 10381, 54931, 55388, 90411, 5078, 55628, 117144, 5770, 64087, 3176, 7415, 53904, 2992, 1716, 23247, 58499, 79631, 1804, 80736, 1427, 5696, 84919, 10982, 1837, 9516, 27030, 8364, 668, 5190, 51703, 81603, 7358, 26053, 81704, 79650, 8516, 54681, 51163, 9439, 9562, 10345, 55325, 79738, 54928, 10892, 5351, 51098, 55149, 55704, 549, 6548, 8309, 6445, 4948, 64787, 22948, 27445, 3547, 11019, 60481, 3708, 6442];[8364, 23030, 8294];3
15;[1687, 5052, 7466, 715, 8291, 5111, 10551, 580, 3459, 7019, 5336, 90522, 10367, 8647, 51025, 54487, 80704, 2936, 1182, 9759, 55112, 10747, 93183, 7025, 342618, 128240, 1889, 246213, 200162, 55252, 11200, 9829, 3236, 9928, 3730, 8546, 4905, 23184, 54567, 1213, 966, 23028, 805, 25953, 1854, 57572, 203286, 4047, 387700, 54499, 4204, 29978, 10717, 57591, 8288, 84100, 51119, 10075, 80207, 84231, 23043, 1267, 11093, 2188, 221927, 2296, 5256, 23389, 79991, 9401, 269, 2027, 23133, 22978, 147007, 7390, 9907, 83932, 79705, 10472, 7341, 8823, 1027, 2778, 79669, 1802, 9241, 23395, 26523];[7466, 4204];2
16;[11136, 6834, 10940, 23325, 11232, 6155, 2121, 8517, 51128, 1471, 1286, 6886, 2799, 6915, 7068, 9690, 26258, 11093, 5216, 254528, 5519, 493856, 10456, 7273, 24140, 64135, 6210, 8220, 2155, 23363, 51339, 6134, 667, 157680, 899, 64787, 808, 7132, 10013, 4935, 23646, 20, 3745, 85358, 130589, 629, 4312, 2073, 3675, 374654, 10566, 8915, 144132, 196385, 7080, 84700, 55814, 9820, 23209, 9493, 26276, 8301, 79955, 653361, 558, 1201, 4982, 6571, 5194, 5995, 4626, 2328, 55650, 341208, 3691, 51473, 7474, 4929, 6795, 253827, 1736, 2065, 56992, 26119, 30817, 25959, 56155, 10715, 6942];[2065, 10013];2
17;[9509, 2070, 4716, 1476, 55746, 63931, 8879, 5500, 8473, 6328, 27178, 1984, 83959, 10758, 64240, 2146, 5468, 6197, 10195, 23424, 3300, 2694, 4649, 3329, 6833, 122622, 2162, 3990, 89765, 1621, 5091, 113235, 116442, 3921, 10913, 65109, 5083, 3141, 2189, 729238, 3850, 335, 55603, 8291, 5336, 7045, 6720, 50945, 222546, 199221, 1027, 9419, 29969, 51004, 2906, 6297, 157680, 2304, 79977, 3426, 4582, 2584, 10084, 2533, 2801, 166785, 50, 51715, 23065, 8241, 55681, 2155, 23152, 2273, 51163, 1773, 492, 6340, 6439, 1747, 1186, 54532, 4023, 84314, 5426, 2077, 2103, 1513, 2271];[10084, 10758, 2189, 23152, 2801, 116442];6
18;[3176, 23162, 7480, 3854, 79798, 4069, 55252, 84957, 2000, 170691, 9698, 24137, 23461, 4056, 1411, 23258, 80155, 375056, 1244, 5587, 64175, 1756, 4589, 144811, 5058, 84695, 11236, 9325, 1583, 6812, 91452, 8556, 254528, 4968, 2984, 5165, 79882, 56683, 91869, 1804, 23418, 81689, 4595, 59341, 6857, 3052, 10269, 6659, 5195, 137682, 26005, 5294, 1369, 6473, 6599, 22995, 7040, 55863, 8518, 23474, 977, 100506658, 581, 91851, 843, 9662, 3242, 23443, 773, 246243, 3857, 167691, 4613, 7388, 10126, 23592, 5375, 9319, 1719, 3425, 10290, 3674, 23479, 92002, 10295, 5630, 83452, 38, 8504];[375056, 773];2
19;[6712, 8270, 343641, 80232, 10785, 23189, 10020, 10577, 79755, 10484, 55120, 5190, 2590, 1638, 3702, 2487, 55215, 70, 2245, 3008, 2260, 51703, 146057, 4117, 1351, 823, 5313, 2259, 1848, 64787, 4308, 6892, 10370, 84168, 148738, 4990, 90167, 6909, 11231, 5700, 55906, 9342, 57102, 10664, 79092, 24, 54800, 170691, 1315, 136647, 80207, 54084, 3566, 63910, 7476, 324, 22907, 3229, 283, 57379, 55739, 81693, 51075, 60468, 6608, 54802, 2317, 51098, 4781, 9782, 731, 9517, 55628, 5994, 2131, 1969, 286, 2182, 2188, 343637, 5294, 163786, 55704, 10717, 95681, 26123, 3055, 779, 9244];[6712, 324];2
20;[6785, 26153, 5515, 2591, 712, 5859, 83480, 5002, 2273, 7050, 57449, 54538, 23133, 59344, 5190, 1503, 284058, 22900, 23219, 2651, 6017, 2071, 56603, 4897, 1760, 9759, 1352, 109, 5058, 4547, 51763, 83605, 5519, 64518, 2103, 8892, 8314, 6840, 28952, 25836, 26229, 113220, 1282, 51651, 6792, 2055, 1767, 9453, 79048, 142680, 7384, 9131, 9147, 6853, 3293, 7784, 57674, 399, 51132, 9150, 1130, 4284, 5307, 917, 123606, 808, 1284, 91869, 23007, 9361, 8074, 4705, 401024, 8812, 57096, 6597, 8526, 440193, 6709, 249, 4591, 6154, 64834, 2720, 570, 2057, 55630, 6314, 950];[57449, 399];2
21;[7867, 4693, 1804, 25821, 11160, 112817, 729920, 7476, 253738, 1289, 2064, 10021, 3655, 50485, 9094, 8626, 1201, 8842, 4286, 9244, 5002, 131118, 1457, 2657, 112744, 219854, 3554, 5800, 11117, 6711, 2200, 10133, 8287, 51308, 7517, 7287, 79631, 9368, 7389, 6235, 401474, 1261, 1822, 974, 1175, 3852, 5589, 219972, 8803, 28960, 6898, 7874, 90624, 2184, 29110, 30813, 83893, 84340, 11146, 51102, 60676, 1604, 4342, 6154, 10771, 59341, 324, 55814, 699, 1105, 2302, 9409, 5257, 1380, 3043, 4539, 7840, 2110, 54539, 7374, 124590, 7097, 8425, 81027, 3850, 4645, 125, 80270, 137682];[324, 8425, 3852, 1457, 6711, 2200, 699, 7867, 1822];9
22;[23028, 1352, 81, 8600, 115399, 7128, 10568, 90416, 79753, 2811, 8905, 2328, 8402, 6522, 27125, 585, 3149, 3991, 1119, 7957, 91875, 5770, 7078, 84466, 5317, 1462, 6657, 126328, 11235, 540, 1776, 1678, 729359, 80217, 79633, 26137, 100, 6866, 55904, 116150, 7453, 51128, 4358, 29893, 3661, 9672, 8882, 7518, 57158, 9526, 5993, 4646, 25839, 7172, 60481, 841, 10654, 6337, 116931, 81622, 431705, 10991, 4653, 22, 65062, 9227, 917, 51371, 286887, 4338, 5119, 6999, 2643, 116115, 64802, 55593, 1107, 9049, 8419, 2108, 5156, 5626, 4601, 5167, 51729, 2517, 51660, 6712, 2624];[6657, 29893, 841, 729359, 1107, 7518];6
23;[57697, 23646, 3159, 81887, 55670, 9739, 26580, 2746, 84265, 5728, 64207, 10021, 2488, 1825, 4544, 54870, 4035, 1141, 10861, 10133, 23600, 54974, 140628, 93166, 57459, 204, 3566, 8671, 11160, 83861, 3559, 1804, 2255, 89765, 23288, 116369, 142680, 23761, 9581, 2702, 9230, 1186, 84065, 3032, 841, 29894, 6443, 9758, 51025, 2688, 84140, 3590, 57122, 5393, 285600, 64419, 1462, 79853, 356, 24148, 57057, 6567, 2643, 545, 4744, 54796, 845, 51098, 103, 51651, 5375, 23443, 28952, 4123, 6307, 6714, 8243, 65260, 84700, 27429, 5130, 284086, 112802, 9440, 79574, 3845, 8813, 2628, 57379];[285600, 84065, 356, 9230, 26580, 10133, 79574, 6714];8
24;[259232, 8625, 64419, 845, 7187, 712, 640, 55697, 23522, 6714, 8309, 10555, 149461, 8367, 124590, 55655, 94005, 4644, 80201, 2710, 1415, 6045, 2556, 4878, 274, 3455, 6708, 7036, 8214, 3784, 587, 3991, 92344, 1535, 6535, 55252, 3889, 267012, 10102, 5971, 6949, 57520, 64423, 1509, 56984, 29078, 4069, 5195, 23316, 93210, 1482, 158401, 8884, 1352, 347733, 538, 23414, 10747, 90417, 5373, 29119, 7136, 84888, 171023, 90665, 55812, 2512, 5896, 246176, 6528, 10695, 8473, 3658, 103, 114327, 7837, 57479, 728294, 7473, 22859, 132, 1760, 2627, 5188, 4338, 64359, 90624, 4318, 400569];[274, 587];2
25;[112802, 57716, 8239, 5393, 23031, 4340, 55249, 219736, 10059, 80776, 64840, 23092, 144245, 440435, 1513, 11284, 7381, 23370, 9217, 387, 5192, 5298, 3071, 7168, 9080, 9508, 63908, 64902, 84888, 11043, 51135, 153, 767, 286, 400569, 84667, 54658, 6572, 84957, 89869, 28981, 7042, 93166, 57545, 8777, 710, 5133, 5075, 147183, 8822, 51741, 64682, 113220, 2717, 23328, 673, 6929, 57514, 843, 26229, 55572, 55037, 92335, 3295, 3767, 3939, 825, 26353, 3586, 28956, 83861, 57538, 60495, 401024, 29089, 25793, 11322, 83932, 57187, 84168, 931, 1536, 5455, 11146, 8364, 1615, 23126, 10519, 1471];[7168, 3939, 10059, 1615];4
26;[23396, 57592, 26040, 64170, 10733, 729238, 3190, 84570, 51124, 64837, 1349, 5188, 5063, 255758, 8243, 5199, 51004, 23094, 29928, 23562, 55898, 4697, 7046, 402381, 23007, 11113, 201134, 9653, 610, 10019, 2224, 54538, 79879, 7109, 57410, 54413, 5896, 974, 54862, 6101, 27315, 175, 2035, 2203, 3757, 65125, 1639, 5002, 55644, 3594, 26058, 2556, 9445, 284361, 81555, 128240, 7827, 153, 134218, 973, 7019, 2132, 1385, 3736, 166785, 51111, 29958, 375748, 389549, 100, 10347, 54880, 831, 5770, 23389, 6708, 1280, 1457, 6445, 54551, 3689, 55152, 669, 9320, 345643, 823, 208, 5194, 815];[5770, 831, 823];3
27;[25974, 2109, 89876, 6440, 267, 6620, 129285, 2741, 6928, 3703, 6338, 1747, 3172, 1297, 55636, 4222, 291, 7358, 51271, 6598, 80222, 8382, 5310, 23556, 9247, 2146, 57192, 2006, 55800, 865, 10585, 7068, 79644, 10342, 3075, 9381, 203286, 1585, 3860, 3912, 51428, 23093, 6785, 3000, 57531, 4193, 22884, 6697, 128486, 3621, 6709, 29927, 83990, 160418, 23288, 58484, 3664, 5830, 57169, 717, 1066, 55164, 3229, 3854, 85446, 80705, 126328, 6223, 84065, 51362, 3887, 3431, 2743, 51181, 57679, 10297, 6595, 7253, 23325, 23451, 23474, 56006, 6794, 93166, 4352, 56916, 6210, 5324, 6820];[3860, 6598, 3854];3
28;[10559, 64581, 10142, 1140, 59067, 10008, 27249, 4010, 6576, 567, 7516, 6897, 439, 5575, 1369, 8294, 137682, 1298, 229, 27247, 27341, 6323, 51004, 10519, 8911, 1690, 3481, 79621, 5195, 990, 7532, 7453, 10472, 291, 1757, 9181, 5455, 4281, 9578, 3549, 9094, 1794, 7038, 54919, 3758, 10002, 7707, 3953, 10457, 85478, 777, 79925, 1954, 6611, 283987, 78989, 331, 1106, 113179, 5830, 4704, 26525, 10046, 55870, 79947, 5076, 79625, 51364, 11322, 131377, 658, 23262, 4697, 10203, 54585, 128486, 1889, 1289, 8573, 51428, 84274, 51501, 1984, 6878, 2146, 85452, 5888, 8516, 4589];[1369, 7532, 8294, 10519];4
29;[22926, 2984, 26284, 2034, 283209, 7343, 89891, 5345, 8087, 100, 8878, 9791, 10916, 7291, 774, 5283, 2668, 27178, 57551, 125150, 7227, 92335, 83452, 51506, 6440, 5732, 2056, 63931, 9423, 121391, 5167, 79587, 57007, 2122, 9915, 23067, 4358, 1288, 3459, 4709, 1559, 92482, 79140, 9094, 4891, 8029, 54822, 8086, 146227, 1804, 3783, 129685, 151516, 79784, 57190, 4093, 6664, 5298, 25942, 123606, 4023, 1909, 2318, 25959, 84628, 11128, 7128, 326, 9442, 7852, 987, 55697, 375056, 7512, 9200, 283450, 8915, 7289, 29969, 2593, 80201, 5879, 6102, 4601, 9409, 7319, 55851, 493753, 1108];[7852, 57007];2
30;[1890, 151254, 3300, 2720, 27229, 8882, 83932, 1050, 1508, 54344, 610, 1352, 88, 5914, 4645, 646, 5718, 23503, 8288, 72, 6720, 1781, 81027, 344, 79784, 6424, 57520, 6833, 415, 6611, 83394, 4853, 134353, 2222, 492, 3178, 2258, 57178, 255758, 122622, 95681, 2057, 8402, 1938, 164045, 128674, 26123, 3795, 50814, 212, 161742, 6710, 224, 375611, 3094, 25790, 1409, 7701, 717, 4795, 7389, 653509, 10461, 51399, 4625, 6576, 23397, 3593, 10654, 9414, 286410, 255738, 64327, 10295, 23067, 3756, 2159, 539, 652, 134701, 64864, 58, 1161, 92609, 4688, 1794, 1411, 9474, 1107];[95681, 134701, 161742];3
31;[5424, 60482, 7056, 89891, 3587, 6712, 2059, 7920, 79753, 51567, 1277, 6455, 6566, 79868, 7067, 23511, 56975, 5000, 6795, 23426, 493856, 6338, 29895, 4478, 201973, 2674, 10585, 27072, 80821, 3891, 27152, 5396, 8890, 4713, 2289, 91624, 9342, 3242, 4535, 4519, 402381, 720, 55628, 64419, 1063, 26040, 6016, 2992, 2683, 83844, 84074, 2780, 80704, 79848, 22866, 59345, 4318, 57609, 5081, 6389, 5631, 11023, 10519, 57798, 6949, 7385, 8694, 255758, 3796, 7274, 4548, 10461, 7025, 54982, 55065, 285600, 2260, 51251, 7252, 27229, 23258, 1629, 948, 22800, 7187, 28960, 10586, 2175, 54880];[493856, 7274, 54982];3
32;[2010, 6901, 3106, 56683, 1286, 63899, 87, 7852, 4313, 4659, 162417, 2677, 79797, 79228, 113246, 998, 23568, 2318, 51259, 1009, 4864, 4512, 57534, 1760, 2784, 51204, 111, 6809, 10002, 340061, 80025, 54974, 6310, 4088, 3070, 63924, 8029, 10588, 128869, 81788, 4281, 9915, 3032, 6455, 1909, 1187, 27107, 25915, 291, 4942, 4653, 10020, 199223, 587, 55193, 2065, 818, 7305, 6897, 55777, 191, 7284, 157922, 25959, 7068, 5795, 83999, 51651, 3636, 23095, 55610, 22, 85478, 2590, 3420, 56171, 25782, 4920, 6228, 157855, 9772, 4091, 56203, 83932, 3640, 10430, 326625, 63976, 29072];[1760, 6310, 25959, 29072, 818, 4088];6
33;[845, 9772, 2186, 25802, 2664, 84701, 129685, 26523, 7293, 6529, 3008, 7802, 5279, 27032, 60495, 6495, 29894, 130557, 5095, 3081, 5781, 51651, 28957, 9382, 6576, 54507, 55129, 8659, 3482, 1353, 3419, 8496, 55755, 84231, 2074, 113278, 4148, 246176, 7124, 4643, 5583, 9181, 2934, 5076, 6154, 372, 3679, 999, 93166, 5122, 9419, 3043, 1009, 8694, 284403, 80746, 23404, 26580, 26276, 85465, 51626, 1630, 2533, 27010, 79827, 9739, 11136, 3162, 4722, 26960, 55593, 8074, 8029, 57572, 2554, 23385, 3872, 1814, 57539, 8893, 81790, 129563, 4990, 2313, 79587, 57609, 84173, 815, 8882];[8882, 55755];2
34;[86614, 7289, 1187, 84662, 4148, 8450, 2475, 80776, 5443, 6650, 4547, 84706, 11117, 56947, 55250, 23137, 6606, 23636, 1387, 7078, 6571, 5698, 183, 4041, 1062, 2157, 2184, 5346, 79188, 6204, 51364, 84520, 10075, 444, 23581, 339983, 5155, 6509, 6809, 2203, 64207, 26011, 5321, 5296, 8777, 1832, 55746, 55603, 3785, 255928, 23384, 23133, 51399, 123016, 57623, 435, 51008, 6913, 525, 8912, 7156, 6210, 55215, 79734, 54583, 9479, 6452, 4990, 2006, 54970, 54675, 126695, 8516, 4893, 51244, 65018, 79991, 90624, 80204, 6342, 861, 5361, 374393, 79641, 4151, 1837, 10524, 157922, 389692];[23384, 55603, 84662];3
35;[11020, 1041, 51085, 10456, 89876, 10654, 51776, 55262, 54931, 3630, 90993, 55898, 1759, 4851, 65062, 57822, 7424, 7518, 2893, 60495, 4713, 28952, 9987, 9130, 291, 6135, 2891, 57096, 1351, 23556, 8443, 7123, 4720, 4976, 284, 6929, 134430, 6635, 5176, 9512, 112, 23461, 85007, 84701, 81555, 84522, 219844, 224, 4153, 258, 5551, 4982, 4069, 9780, 9652, 610, 9984, 83844, 80821, 4052, 10243, 4967, 4547, 387700, 6499, 87, 374291, 51259, 4007, 10283, 84896, 65057, 3689, 7021, 5818, 7545, 139212, 57216, 92211, 5805, 4761, 50617, 9294, 63899, 387, 55033, 4175, 51079, 9427];[55033, 84522, 65062, 90993];4
36;[388552, 174, 22948, 9382, 4087, 348, 2760, 799, 2737, 9993, 26040, 5583, 6772, 84033, 9636, 55315, 55503, 2979, 5818, 3376, 23581, 6100, 4649, 64377, 55753, 54585, 6657, 56171, 83706, 84946, 1029, 6208, 57526, 539, 51520, 10345, 27329, 8048, 1441, 3033, 5155, 3990, 51218, 144811, 134701, 8988, 347733, 85358, 8028, 4361, 4281, 23096, 7048, 7019, 3766, 6469, 3055, 3954, 3026, 55107, 1380, 1409, 55165, 1020, 118813, 3187, 1116, 55172, 2517, 525, 3176, 774, 23065, 8831, 7297, 57798, 65082, 5264, 4179, 9325, 1457, 84233, 6301, 85300, 6595, 2048, 6583, 3835, 861];[2048, 5264];2
